concept_id,concept_name,standard_concept,standard_concept_caption,invalid_reason,invalid_reason_caption,concept_code,domain_id,vocabulary_id,concept_class_id,valid_start_date,valid_end_date
43859975,1000 ML Acetylcysteine 0.24 MG/ML / Alanine 5.4 MG/ML / Ammonium Chloride 1.65 MG/ML / Arginine 3.43 MG/ML / Aspartic Acid 0.67 MG/ML / Calcium Chloride 0.48 MG/ML / Glucose 50 MG/ML / Glutamate 1.75 MG/ML / ... Injectable Solution [Salviamin] by Baxter,S,Standard,V,Valid,OMOP722586,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43661979,1000 ML Acetylcysteine 0.673 MG/ML / Alanine 14.9 MG/ML / Ammonium Chloride 4.4 MG/ML / Arginine 9.8 MG/ML / Aspartic Acid 1.91 MG/ML / Calcium Chloride 0.735 MG/ML / Glutamate 5 MG/ML / Glycine 7.5 MG/ML / Histidine 3.12 MG/ML / ... Injectable Solution,S,Standard,V,Valid,OMOP722675,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43625634,1000 ML Acetylcysteine 0.673 MG/ML / Alanine 14.9 MG/ML / Ammonium Chloride 4.4 MG/ML / Arginine 9.8 MG/ML / Aspartic Acid 1.91 MG/ML / Calcium Chloride 0.735 MG/ML / Glutamate 5 MG/ML / Glycine 7.5 MG/ML / ... Injectable Solution [Alvesin],S,Standard,V,Valid,OMOP722676,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43607707,1000 ML Acetylcysteine 0.673 MG/ML / Alanine 14.9 MG/ML / Ammonium Chloride 4.4 MG/ML / Arginine 9.8 MG/ML / Aspartic Acid 1.91 MG/ML / Calcium Chloride 0.735 MG/ML / Glutamate 5 MG/ML / ... Injectable Solution [Alvesin] by Berlin-Chemie,S,Standard,V,Valid,OMOP722677,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43625668,1000 ML Acetylcysteine 1 MG/ML / Alanine 4.22 MG/ML / Ammonium Chloride 0.7 MG/ML / Arginine 2.9 MG/ML / Asparagine 0.36 MG/ML / Aspartic Acid 0.32 MG/ML / Glutamate 3.14 MG/ML / Glycine 2.5 MG/ML / Histidine 1.86 MG/ML / ... Injectable Solution,S,Standard,V,Valid,OMOP723360,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43662007,1000 ML Acetylcysteine 1 MG/ML / Alanine 4.22 MG/ML / Ammonium Chloride 0.7 MG/ML / Arginine 2.9 MG/ML / Asparagine 0.36 MG/ML / Aspartic Acid 0.32 MG/ML / Glutamate 3.14 MG/ML / Glycine 2.5 MG/ML / ... Injectable Solution [Periplasmal],S,Standard,V,Valid,OMOP723361,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43769701,1000 ML Acetylcysteine 1 MG/ML / Alanine 4.22 MG/ML / Ammonium Chloride 0.7 MG/ML / Arginine 2.9 MG/ML / Asparagine 0.36 MG/ML / Aspartic Acid 0.32 MG/ML / Glutamate 3.14 MG/ML / Glycine 2.5 MG/ML / ... Injectable Solution [Periplasmal] by B.Braun,S,Standard,V,Valid,OMOP723362,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43287114,1000 ML Alanine 0.0104 MG/ML / Arginine 0.00575 MG/ML / Dibasic potassium phosphate 0.00261 MG/ML / Glucose 0.125 MG/ML / Glycine 0.00565 MG/ML / Histidine 0.0024 MG/ML / Isoleucine 0.003 MG/ML / Leucine 0.00365 MG/ML / ... Injection,S,Standard,V,Valid,OMOP569268,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43270780,1000 ML Alanine 0.0104 MG/ML / Arginine 0.00575 MG/ML / Dibasic potassium phosphate 0.00261 MG/ML / Glucose 0.125 MG/ML / Glycine 0.00565 MG/ML / Histidine 0.0024 MG/ML / Isoleucine 0.003 MG/ML / Leucine 0.00365 MG/ML / ... Injection Box of 12,S,Standard,V,Valid,OMOP569269,Drug,RxNorm Extension,Quant Clinical Box,1503547200000,4102376400000
43281653,1000 ML Alanine 0.0104 MG/ML / Arginine 0.00575 MG/ML / Dibasic potassium phosphate 0.00261 MG/ML / Glucose 0.25 MG/ML / Glycine 0.00565 MG/ML / Histidine 0.0024 MG/ML / Isoleucine 0.003 MG/ML / Leucine 0.00365 MG/ML / ... Injection,S,Standard,V,Valid,OMOP569266,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43259838,1000 ML Alanine 0.0104 MG/ML / Arginine 0.00575 MG/ML / Dibasic potassium phosphate 0.00261 MG/ML / Glucose 0.25 MG/ML / Glycine 0.00565 MG/ML / Histidine 0.0024 MG/ML / Isoleucine 0.003 MG/ML / Leucine 0.00365 MG/ML / ... Injection Box of 12,S,Standard,V,Valid,OMOP569267,Drug,RxNorm Extension,Quant Clinical Box,1503547200000,4102376400000
43715654,1000 ML Alanine 0.951 MG/ML / Ammonium Chloride 0.85 MG/ML / Arginine 1.07 MG/ML / Calcium Chloride 0.184 MG/ML / Glycine 0.51 MG/ML / Histidine 0.714 MG/ML / Isoleucine 0.85 MG/ML / Leucine 1.02 MG/ML / ... Injectable Solution [Nutrineal],S,Standard,V,Valid,OMOP722732,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43697827,1000 ML Alanine 0.951 MG/ML / Ammonium Chloride 0.85 MG/ML / Arginine 1.07 MG/ML / Calcium Chloride 0.184 MG/ML / Glycine 0.51 MG/ML / Histidine 0.714 MG/ML / Isoleucine 0.85 MG/ML / Leucine 1.02 MG/ML / ... Injectable Solution [Nutrineal] by Baxter,S,Standard,V,Valid,OMOP722737,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43823712,1000 ML Alanine 0.951 MG/ML / Ammonium Chloride 0.85 MG/ML / Arginine 1.07 MG/ML / Calcium Chloride 0.184 MG/ML / Glycine 0.51 MG/ML / Histidine 0.714 MG/ML / Isoleucine 0.85 MG/ML / Leucine 1.02 MG/ML / Lysine 0.955 MG/ML / ... Injectable Solution,S,Standard,V,Valid,OMOP722735,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
